0.12691,0.64416,0.12691,0.64416,-9.6079e-42
0.14121,0.59294,0.14121,0.59294,-3.1289e-46
0.17421,0.61845,0.17421,0.61845,-1.0212e-49
0.21064,0.6074,0.21064,0.6074,7.8863e-54
0.23978,0.59636,0.23978,0.59636,2.4936e-51
0.19943,0.56355,0.19943,0.56355,4.1408e-50
0.2284,0.52326,0.2284,0.52326,1.8981e-45
0.26468,0.48661,0.26468,0.48661,-1.1971e-41
0.3376,0.47181,0.3376,0.47181,-7.9164e-40
0.33779,0.50471,0.33779,0.50471,-7.9041e-43
0.29429,0.55601,0.29429,0.55601,-2.7919e-47
0.34194,0.5888,0.34194,0.5888,-5.443e-46
0.35267,0.55221,0.35267,0.55221,-4.766e-47
0.40704,0.48626,0.40704,0.48626,3.2349e-35
0.44358,0.49349,0.44358,0.49349,4.2986e-32
0.45844,0.53733,0.45844,0.53733,5.1861e-37
0.4441,0.58124,0.4441,0.58124,-5.3475e-36
0.40781,0.61789,0.40781,0.61789,-5.8658e-36
0.36064,0.66554,0.36064,0.66554,-1.3152e-39
0.28751,0.64378,0.28751,0.64378,4.2666e-52
0.25481,0.66945,0.25481,0.66945,6.6885e-57
0.20371,0.66957,0.20371,0.66957,-7.8842e-53
0.2185,0.70244,0.2185,0.70244,-1.8101e-55
0.17842,0.71351,0.17842,0.71351,-3.2935e-48
0.13842,0.7392,0.13842,0.7392,-1.8742e-42
0.14226,0.7721,0.14226,0.7721,-1.4302e-44
0.20783,0.75,0.20783,0.75,-2.0356e-54
0.25878,0.72428,0.25878,0.72428,3.7987e-57
0.32436,0.70219,0.32436,0.70219,-4.8293e-45
0.32457,0.73875,0.32457,0.73875,1.0184e-44
0.27719,0.74983,0.27719,0.74983,4.6876e-54
0.21896,0.77923,0.21896,0.77923,-5.3853e-58
0.21185,0.81215,0.21185,0.81215,-2.712e-59
0.13904,0.84523,0.13904,0.84523,-6.8766e-51
0.1174,0.88916,0.1174,0.88916,-3.0753e-54
0.11766,0.93304,0.11766,0.93304,-2.4572e-61
0.1179,0.97326,0.1179,0.97326,-6.3263e-69
0.12904,1.0061,0.12904,1.0061,-2.3006e-77
0.14014,1.0317,0.14014,1.0317,-1.1238e-84
0.059883,1.0392,0.059883,1.0392,-1.3347e-78
0.060098,1.0758,0.060098,1.0758,-1.0971e-87
0.060422,1.1306,0.060422,1.1306,-1.9465e-86
0.028174,1.2331,0.028174,1.2331,-2.1532e-69
0.021111,1.2733,0.021111,1.2733,-1.2405e-64
0.010441,1.3209,0.010441,1.3209,-2.201e-61
0.028993,1.372,0.028993,1.372,-1.7813e-54
0.07625,1.339,0.07625,1.339,-1.6763e-56
0.054156,1.3061,0.054156,1.3061,-3.1794e-60
0.097439,1.2183,0.097439,1.2183,-8.0692e-70
0.10044,1.1086,0.10044,1.1086,-7.4171e-92
0.14774,1.0829,0.14774,1.0829,-9.8013e-91
0.22792,1.0607,0.22792,1.0607,-3.9662e-76
0.19494,1.0389,0.19494,1.0389,-1.366e-86
0.17282,1.0024,0.17282,1.0024,-2.5041e-82
0.1726,0.96581,0.1726,0.96581,-7.1632e-75
0.20148,0.9109,0.20148,0.9109,-1.0281e-69
0.20122,0.86702,0.20122,0.86702,-1.8906e-63
0.26656,0.8047,0.26656,0.8047,1.2661e-57
0.27042,0.84126,0.27042,0.84126,-6.0035e-59
0.29969,0.85216,0.29969,0.85216,-5.9909e-53
0.28168,0.89242,0.28168,0.89242,-2.6984e-60
0.28556,0.93263,0.28556,0.93263,-7.5683e-65
0.27476,0.95825,0.27476,0.95825,9.2565e-71
0.30448,1.0459,0.30448,1.0459,1.4179e-63
0.2755,1.0826,0.2755,1.0826,2.2867e-63
0.25735,1.1009,0.25735,1.1009,5.2394e-65
0.21731,1.1193,0.21731,1.1193,-4.6366e-71
0.20299,1.1668,0.20299,1.1668,-1.6424e-70
0.21783,1.207,0.21783,1.207,-1.3112e-65
0.19979,1.2436,0.19979,1.2436,-4.7474e-66
0.20733,1.2838,0.20733,1.2838,-1.2292e-58
0.21137,1.3496,0.21137,1.3496,-5.61e-50
0.15687,1.3936,0.15687,1.3936,-1.5743e-49
0.17532,1.4265,0.17532,1.4265,2.7089e-45
0.23381,1.441,0.23381,1.441,-2.1289e-42
0.29216,1.4335,0.29216,1.4335,3.2037e-42
0.248,1.3715,0.248,1.3715,-5.5248e-47
0.25137,1.3239,0.25137,1.3239,-1.7202e-52
0.2548,1.2874,0.2548,1.2874,2.0991e-53
0.29871,1.3055,0.29871,1.3055,7.3664e-45
0.33487,1.247,0.33487,1.247,-3.4689e-38
0.27964,1.1667,0.27964,1.1667,3.8284e-53
0.39275,1.1591,0.39275,1.1591,-1.1958e-32
0.44009,1.1407,0.44009,1.1407,-1.9806e-28
0.41435,1.1078,0.41435,1.1078,-1.5065e-35
0.43597,1.0602,0.43597,1.0602,-3.7903e-40
0.43582,1.0346,0.43582,1.0346,-6.1459e-45
0.46124,1.0126,0.46124,1.0126,-3.6584e-45
0.49031,0.99064,0.49031,0.99064,3.0344e-37
0.42468,1.0018,0.42468,1.0018,-2.2583e-48
0.32964,0.98006,0.32964,0.98006,3.4931e-61
0.32932,0.92521,0.32932,0.92521,2.6763e-53
0.36202,0.89954,0.36202,0.89954,1.0954e-43
0.34355,0.86302,0.34355,0.86302,3.8225e-44
0.33952,0.79722,0.33952,0.79722,-2.3683e-43
0.41263,0.81532,0.41263,0.81532,2.153e-29
0.44889,0.77501,0.44889,0.77501,2.8993e-25
0.51053,0.70539,0.51053,0.70539,4.1786e-20
